Discos,Tiempo
10,0.20514678955078125
10,0.18899130821228027
5,0.003905773162841797
5,0.005972146987915039
5,0.0029649734497070312
6,0.014533281326293945
7,0.02933502197265625
8,0.06283116340637207
9,0.1389622688293457
10,0.27060508728027344
1,0.0007379055023193359
2,0.0010097026824951172
10,0.2622666358947754
3,0.000949859619140625
1,0.0009984970092773438
3,0.0009963512420654297
5,0.006981611251831055
7,0.03150439262390137
9,0.1584630012512207
11,0.41333675384521484
5,0.008461236953735352
4,0.0039196014404296875
7,0.032549142837524414
1,0.0
2,0.0009868144989013672
5,0.0069675445556640625
4,0.002978801727294922
9,0.14220929145812988
7,0.031911373138427734
